model,attack,epsilon,accuracy
Clean Model,Clean,0.0,80.55
Clean Model,FGSM,0.00784313725490196,38.87
Clean Model,FGSM,0.01568627450980392,15.6
Clean Model,FGSM,0.03137254901960784,2.39
Clean Model,PGD,0.00784313725490196,31.84
Clean Model,PGD,0.01568627450980392,5.83
Clean Model,PGD,0.03137254901960784,0.17
Adversarial Model,Clean,0.0,56.26
Adversarial Model,FGSM,0.00784313725490196,51.43
Adversarial Model,FGSM,0.01568627450980392,46.56
Adversarial Model,FGSM,0.03137254901960784,37.53
Adversarial Model,PGD,0.00784313725490196,51.24
Adversarial Model,PGD,0.01568627450980392,46.31
Adversarial Model,PGD,0.03137254901960784,36.74
FGSM Adversarial Model,Clean,0.0,57.16
FGSM Adversarial Model,FGSM,0.00784313725490196,52.36
FGSM Adversarial Model,FGSM,0.01568627450980392,47.57
FGSM Adversarial Model,FGSM,0.03137254901960784,37.63
FGSM Adversarial Model,PGD,0.00784313725490196,52.22
FGSM Adversarial Model,PGD,0.01568627450980392,46.97
FGSM Adversarial Model,PGD,0.03137254901960784,36.42
