model,attack,epsilon,accuracy
Clean Model,Clean,0.0,72.5
Clean Model,FGSM,0.00784313725490196,31.1625
Clean Model,FGSM,0.01568627450980392,13.6875
Clean Model,FGSM,0.03137254901960784,3.225
Clean Model,PGD,0.00784313725490196,25.825
Clean Model,PGD,0.01568627450980392,5.725
Clean Model,PGD,0.03137254901960784,0.125
Adversarial Model,Clean,0.0,57.875
Adversarial Model,FGSM,0.00784313725490196,51.475
Adversarial Model,FGSM,0.01568627450980392,45.6375
Adversarial Model,FGSM,0.03137254901960784,35.375
Adversarial Model,PGD,0.00784313725490196,51.2875
Adversarial Model,PGD,0.01568627450980392,44.7875
Adversarial Model,PGD,0.03137254901960784,33.3875
FGSM Adversarial Model,Clean,0.0,61.4875
FGSM Adversarial Model,FGSM,0.00784313725490196,54.0375
FGSM Adversarial Model,FGSM,0.01568627450980392,46.85
FGSM Adversarial Model,FGSM,0.03137254901960784,34.75
FGSM Adversarial Model,PGD,0.00784313725490196,53.925
FGSM Adversarial Model,PGD,0.01568627450980392,45.675
FGSM Adversarial Model,PGD,0.03137254901960784,31.8375
TRADES Model,Clean,0.0,54.55
TRADES Model,FGSM,0.00784313725490196,48.325
TRADES Model,FGSM,0.01568627450980392,42.65
TRADES Model,FGSM,0.03137254901960784,32.9
TRADES Model,PGD,0.00784313725490196,48.1875
TRADES Model,PGD,0.01568627450980392,42.1625
TRADES Model,PGD,0.03137254901960784,31.7375
