class_idx,class_name,attack,epsilon,accuracy,model
0,airplane,FGSM,0.00784313725490196,47.9,Clean Model
1,automobile,FGSM,0.00784313725490196,50.1,Clean Model
2,bird,FGSM,0.00784313725490196,26.3,Clean Model
3,cat,FGSM,0.00784313725490196,17.8,Clean Model
4,deer,FGSM,0.00784313725490196,22.2,Clean Model
5,dog,FGSM,0.00784313725490196,30.3,Clean Model
6,frog,FGSM,0.00784313725490196,40.7,Clean Model
7,horse,FGSM,0.00784313725490196,43.5,Clean Model
8,ship,FGSM,0.00784313725490196,56.1,Clean Model
9,truck,FGSM,0.00784313725490196,53.8,Clean Model
0,airplane,FGSM,0.01568627450980392,23.7,Clean Model
1,automobile,FGSM,0.01568627450980392,21.3,Clean Model
2,bird,FGSM,0.01568627450980392,9.2,Clean Model
3,cat,FGSM,0.01568627450980392,4.3,Clean Model
4,deer,FGSM,0.01568627450980392,4.7,Clean Model
5,dog,FGSM,0.01568627450980392,12.2,Clean Model
6,frog,FGSM,0.01568627450980392,14.7,Clean Model
7,horse,FGSM,0.01568627450980392,19.8,Clean Model
8,ship,FGSM,0.01568627450980392,24.4,Clean Model
9,truck,FGSM,0.01568627450980392,21.7,Clean Model
0,airplane,FGSM,0.03137254901960784,6.7,Clean Model
1,automobile,FGSM,0.03137254901960784,2.4,Clean Model
2,bird,FGSM,0.03137254901960784,1.3,Clean Model
3,cat,FGSM,0.03137254901960784,0.3,Clean Model
4,deer,FGSM,0.03137254901960784,0.8,Clean Model
5,dog,FGSM,0.03137254901960784,1.3,Clean Model
6,frog,FGSM,0.03137254901960784,2.7,Clean Model
7,horse,FGSM,0.03137254901960784,2.8,Clean Model
8,ship,FGSM,0.03137254901960784,2.6,Clean Model
9,truck,FGSM,0.03137254901960784,3.0,Clean Model
0,airplane,PGD,0.00784313725490196,39.6,Clean Model
1,automobile,PGD,0.00784313725490196,44.6,Clean Model
2,bird,PGD,0.00784313725490196,20.8,Clean Model
3,cat,PGD,0.00784313725490196,9.2,Clean Model
4,deer,PGD,0.00784313725490196,13.8,Clean Model
5,dog,PGD,0.00784313725490196,23.9,Clean Model
6,frog,PGD,0.00784313725490196,32.0,Clean Model
7,horse,PGD,0.00784313725490196,37.8,Clean Model
8,ship,PGD,0.00784313725490196,48.6,Clean Model
9,truck,PGD,0.00784313725490196,47.1,Clean Model
0,airplane,PGD,0.01568627450980392,8.8,Clean Model
1,automobile,PGD,0.01568627450980392,9.7,Clean Model
2,bird,PGD,0.01568627450980392,3.2,Clean Model
3,cat,PGD,0.01568627450980392,0.7,Clean Model
4,deer,PGD,0.01568627450980392,0.4,Clean Model
5,dog,PGD,0.01568627450980392,4.5,Clean Model
6,frog,PGD,0.01568627450980392,4.5,Clean Model
