class_idx,class_name,attack,epsilon,accuracy,model
0,airplane,FGSM,0.00784313725490196,60.5,Clean Model
1,bird,FGSM,0.00784313725490196,23.375,Clean Model
2,car,FGSM,0.00784313725490196,53.875,Clean Model
3,cat,FGSM,0.00784313725490196,8.25,Clean Model
4,deer,FGSM,0.00784313725490196,17.875,Clean Model
5,dog,FGSM,0.00784313725490196,5.25,Clean Model
6,horse,FGSM,0.00784313725490196,28.25,Clean Model
7,monkey,FGSM,0.00784313725490196,8.5,Clean Model
8,ship,FGSM,0.00784313725490196,59.0,Clean Model
9,truck,FGSM,0.00784313725490196,46.75,Clean Model
0,airplane,FGSM,0.01568627450980392,36.875,Clean Model
1,bird,FGSM,0.01568627450980392,8.375,Clean Model
2,car,FGSM,0.01568627450980392,26.25,Clean Model
3,cat,FGSM,0.01568627450980392,0.875,Clean Model
4,deer,FGSM,0.01568627450980392,4.125,Clean Model
5,dog,FGSM,0.01568627450980392,0.25,Clean Model
6,horse,FGSM,0.01568627450980392,6.375,Clean Model
7,monkey,FGSM,0.01568627450980392,0.75,Clean Model
8,ship,FGSM,0.01568627450980392,33.5,Clean Model
9,truck,FGSM,0.01568627450980392,19.5,Clean Model
0,airplane,FGSM,0.03137254901960784,11.625,Clean Model
1,bird,FGSM,0.03137254901960784,1.125,Clean Model
2,car,FGSM,0.03137254901960784,4.125,Clean Model
3,cat,FGSM,0.03137254901960784,0.0,Clean Model
4,deer,FGSM,0.03137254901960784,0.5,Clean Model
5,dog,FGSM,0.03137254901960784,0.0,Clean Model
6,horse,FGSM,0.03137254901960784,0.625,Clean Model
7,monkey,FGSM,0.03137254901960784,0.0,Clean Model
8,ship,FGSM,0.03137254901960784,10.125,Clean Model
9,truck,FGSM,0.03137254901960784,4.125,Clean Model
0,airplane,PGD,0.00784313725490196,55.375,Clean Model
1,bird,PGD,0.00784313725490196,17.125,Clean Model
2,car,PGD,0.00784313725490196,48.0,Clean Model
3,cat,PGD,0.00784313725490196,4.125,Clean Model
4,deer,PGD,0.00784313725490196,11.625,Clean Model
5,dog,PGD,0.00784313725490196,3.25,Clean Model
6,horse,PGD,0.00784313725490196,19.375,Clean Model
7,monkey,PGD,0.00784313725490196,5.5,Clean Model
8,ship,PGD,0.00784313725490196,53.0,Clean Model
9,truck,PGD,0.00784313725490196,40.375,Clean Model
0,airplane,PGD,0.01568627450980392,17.25,Clean Model
1,bird,PGD,0.01568627450980392,1.875,Clean Model
2,car,PGD,0.01568627450980392,13.25,Clean Model
3,cat,PGD,0.01568627450980392,0.375,Clean Model
4,deer,PGD,0.01568627450980392,1.0,Clean Model
5,dog,PGD,0.01568627450980392,0.0,Clean Model
6,horse,PGD,0.01568627450980392,1.625,Clean Model
7,monkey,PGD,0.01568627450980392,0.125,Clean Model
8,ship,PGD,0.01568627450980392,13.125,Clean Model
9,truck,PGD,0.01568627450980392,8.875,Clean Model
0,airplane,PGD,0.03137254901960784,0.5,Clean Model
1,bird,PGD,0.03137254901960784,0.0,Clean Model
2,car,PGD,0.03137254901960784,0.125,Clean Model
3,cat,PGD,0.03137254901960784,0.0,Clean Model
4,deer,PGD,0.03137254901960784,0.0,Clean Model
5,dog,PGD,0.03137254901960784,0.0,Clean Model
6,horse,PGD,0.03137254901960784,0.0,Clean Model
7,monkey,PGD,0.03137254901960784,0.0,Clean Model
8,ship,PGD,0.03137254901960784,0.125,Clean Model
9,truck,PGD,0.03137254901960784,0.25,Clean Model
0,airplane,FGSM,0.00784313725490196,74.75,Adversarial Model
1,bird,FGSM,0.00784313725490196,32.625,Adversarial Model
2,car,FGSM,0.00784313725490196,71.875,Adversarial Model
3,cat,FGSM,0.00784313725490196,18.25,Adversarial Model
4,deer,FGSM,0.00784313725490196,76.625,Adversarial Model
5,dog,FGSM,0.00784313725490196,20.875,Adversarial Model
6,horse,FGSM,0.00784313725490196,61.625,Adversarial Model
7,monkey,FGSM,0.00784313725490196,24.625,Adversarial Model
8,ship,FGSM,0.00784313725490196,82.625,Adversarial Model
9,truck,FGSM,0.00784313725490196,50.875,Adversarial Model
0,airplane,FGSM,0.01568627450980392,70.125,Adversarial Model
1,bird,FGSM,0.01568627450980392,27.875,Adversarial Model
2,car,FGSM,0.01568627450980392,65.0,Adversarial Model
3,cat,FGSM,0.01568627450980392,13.125,Adversarial Model
4,deer,FGSM,0.01568627450980392,71.25,Adversarial Model
5,dog,FGSM,0.01568627450980392,15.625,Adversarial Model
6,horse,FGSM,0.01568627450980392,56.375,Adversarial Model
7,monkey,FGSM,0.01568627450980392,18.625,Adversarial Model
8,ship,FGSM,0.01568627450980392,75.625,Adversarial Model
9,truck,FGSM,0.01568627450980392,42.75,Adversarial Model
0,airplane,FGSM,0.03137254901960784,61.375,Adversarial Model
1,bird,FGSM,0.03137254901960784,20.25,Adversarial Model
2,car,FGSM,0.03137254901960784,52.125,Adversarial Model
3,cat,FGSM,0.03137254901960784,7.0,Adversarial Model
4,deer,FGSM,0.03137254901960784,60.0,Adversarial Model
5,dog,FGSM,0.03137254901960784,9.125,Adversarial Model
6,horse,FGSM,0.03137254901960784,41.5,Adversarial Model
7,monkey,FGSM,0.03137254901960784,10.5,Adversarial Model
8,ship,FGSM,0.03137254901960784,64.75,Adversarial Model
9,truck,FGSM,0.03137254901960784,27.125,Adversarial Model
0,airplane,PGD,0.00784313725490196,74.625,Adversarial Model
1,bird,PGD,0.00784313725490196,32.625,Adversarial Model
2,car,PGD,0.00784313725490196,71.75,Adversarial Model
3,cat,PGD,0.00784313725490196,18.125,Adversarial Model
4,deer,PGD,0.00784313725490196,76.5,Adversarial Model
5,dog,PGD,0.00784313725490196,20.25,Adversarial Model
6,horse,PGD,0.00784313725490196,61.5,Adversarial Model
7,monkey,PGD,0.00784313725490196,24.375,Adversarial Model
8,ship,PGD,0.00784313725490196,82.5,Adversarial Model
9,truck,PGD,0.00784313725490196,50.625,Adversarial Model
0,airplane,PGD,0.01568627450980392,69.5,Adversarial Model
1,bird,PGD,0.01568627450980392,27.5,Adversarial Model
2,car,PGD,0.01568627450980392,64.5,Adversarial Model
3,cat,PGD,0.01568627450980392,11.875,Adversarial Model
4,deer,PGD,0.01568627450980392,69.75,Adversarial Model
5,dog,PGD,0.01568627450980392,15.25,Adversarial Model
6,horse,PGD,0.01568627450980392,55.875,Adversarial Model
7,monkey,PGD,0.01568627450980392,18.125,Adversarial Model
8,ship,PGD,0.01568627450980392,74.375,Adversarial Model
9,truck,PGD,0.01568627450980392,41.25,Adversarial Model
0,airplane,PGD,0.03137254901960784,59.625,Adversarial Model
1,bird,PGD,0.03137254901960784,19.0,Adversarial Model
2,car,PGD,0.03137254901960784,49.5,Adversarial Model
3,cat,PGD,0.03137254901960784,5.75,Adversarial Model
4,deer,PGD,0.03137254901960784,56.375,Adversarial Model
5,dog,PGD,0.03137254901960784,8.625,Adversarial Model
6,horse,PGD,0.03137254901960784,39.25,Adversarial Model
7,monkey,PGD,0.03137254901960784,9.125,Adversarial Model
8,ship,PGD,0.03137254901960784,61.5,Adversarial Model
9,truck,PGD,0.03137254901960784,24.5,Adversarial Model
0,airplane,FGSM,0.00784313725490196,74.75,FGSM Adversarial Model
1,bird,FGSM,0.00784313725490196,36.875,FGSM Adversarial Model
2,car,FGSM,0.00784313725490196,72.5,FGSM Adversarial Model
3,cat,FGSM,0.00784313725490196,26.625,FGSM Adversarial Model
4,deer,FGSM,0.00784313725490196,69.875,FGSM Adversarial Model
5,dog,FGSM,0.00784313725490196,20.25,FGSM Adversarial Model
6,horse,FGSM,0.00784313725490196,61.875,FGSM Adversarial Model
7,monkey,FGSM,0.00784313725490196,36.125,FGSM Adversarial Model
8,ship,FGSM,0.00784313725490196,81.125,FGSM Adversarial Model
9,truck,FGSM,0.00784313725490196,60.375,FGSM Adversarial Model
0,airplane,FGSM,0.01568627450980392,69.5,FGSM Adversarial Model
1,bird,FGSM,0.01568627450980392,30.75,FGSM Adversarial Model
2,car,FGSM,0.01568627450980392,65.625,FGSM Adversarial Model
3,cat,FGSM,0.01568627450980392,19.125,FGSM Adversarial Model
4,deer,FGSM,0.01568627450980392,61.875,FGSM Adversarial Model
5,dog,FGSM,0.01568627450980392,14.5,FGSM Adversarial Model
6,horse,FGSM,0.01568627450980392,52.875,FGSM Adversarial Model
7,monkey,FGSM,0.01568627450980392,27.5,FGSM Adversarial Model
8,ship,FGSM,0.01568627450980392,74.375,FGSM Adversarial Model
9,truck,FGSM,0.01568627450980392,52.375,FGSM Adversarial Model
0,airplane,FGSM,0.03137254901960784,60.0,FGSM Adversarial Model
1,bird,FGSM,0.03137254901960784,21.625,FGSM Adversarial Model
2,car,FGSM,0.03137254901960784,50.125,FGSM Adversarial Model
3,cat,FGSM,0.03137254901960784,9.25,FGSM Adversarial Model
4,deer,FGSM,0.03137254901960784,48.875,FGSM Adversarial Model
5,dog,FGSM,0.03137254901960784,7.75,FGSM Adversarial Model
6,horse,FGSM,0.03137254901960784,37.375,FGSM Adversarial Model
7,monkey,FGSM,0.03137254901960784,17.375,FGSM Adversarial Model
8,ship,FGSM,0.03137254901960784,60.5,FGSM Adversarial Model
9,truck,FGSM,0.03137254901960784,34.625,FGSM Adversarial Model
0,airplane,PGD,0.00784313725490196,74.875,FGSM Adversarial Model
1,bird,PGD,0.00784313725490196,36.75,FGSM Adversarial Model
2,car,PGD,0.00784313725490196,72.375,FGSM Adversarial Model
3,cat,PGD,0.00784313725490196,25.875,FGSM Adversarial Model
4,deer,PGD,0.00784313725490196,69.625,FGSM Adversarial Model
5,dog,PGD,0.00784313725490196,20.25,FGSM Adversarial Model
6,horse,PGD,0.00784313725490196,61.75,FGSM Adversarial Model
