source_model,target_model,attack,epsilon,accuracy
Clean Model,Clean Model,FGSM,0.00784313725490196,38.87
Clean Model,Clean Model,FGSM,0.01568627450980392,15.6
Clean Model,Clean Model,FGSM,0.03137254901960784,2.39
Clean Model,Clean Model,PGD,0.00784313725490196,31.76
Clean Model,Clean Model,PGD,0.01568627450980392,5.84
Clean Model,Clean Model,PGD,0.03137254901960784,0.18
Clean Model,Adversarial Model,FGSM,0.00784313725490196,55.57
Clean Model,Adversarial Model,FGSM,0.01568627450980392,54.96
Clean Model,Adversarial Model,FGSM,0.03137254901960784,53.79
Clean Model,Adversarial Model,PGD,0.00784313725490196,55.57
Clean Model,Adversarial Model,PGD,0.01568627450980392,54.95
Clean Model,Adversarial Model,PGD,0.03137254901960784,53.9
Clean Model,FGSM Adversarial Model,FGSM,0.00784313725490196,56.48
Clean Model,FGSM Adversarial Model,FGSM,0.01568627450980392,55.83
Clean Model,FGSM Adversarial Model,FGSM,0.03137254901960784,54.59
Clean Model,FGSM Adversarial Model,PGD,0.00784313725490196,56.54
Clean Model,FGSM Adversarial Model,PGD,0.01568627450980392,55.86
Clean Model,FGSM Adversarial Model,PGD,0.03137254901960784,54.85
Adversarial Model,Clean Model,FGSM,0.00784313725490196,76.96
Adversarial Model,Clean Model,FGSM,0.01568627450980392,72.68
Adversarial Model,Clean Model,FGSM,0.03137254901960784,61.3
Adversarial Model,Clean Model,PGD,0.00784313725490196,77.06
Adversarial Model,Clean Model,PGD,0.01568627450980392,72.6
Adversarial Model,Clean Model,PGD,0.03137254901960784,60.82
Adversarial Model,Adversarial Model,FGSM,0.00784313725490196,51.43
Adversarial Model,Adversarial Model,FGSM,0.01568627450980392,46.56
Adversarial Model,Adversarial Model,FGSM,0.03137254901960784,37.53
Adversarial Model,Adversarial Model,PGD,0.00784313725490196,51.24
Adversarial Model,Adversarial Model,PGD,0.01568627450980392,46.32
Adversarial Model,Adversarial Model,PGD,0.03137254901960784,36.79
Adversarial Model,FGSM Adversarial Model,FGSM,0.00784313725490196,53.56
Adversarial Model,FGSM Adversarial Model,FGSM,0.01568627450980392,49.46
Adversarial Model,FGSM Adversarial Model,FGSM,0.03137254901960784,41.0
Adversarial Model,FGSM Adversarial Model,PGD,0.00784313725490196,53.56
Adversarial Model,FGSM Adversarial Model,PGD,0.01568627450980392,49.42
Adversarial Model,FGSM Adversarial Model,PGD,0.03137254901960784,40.89
FGSM Adversarial Model,Clean Model,FGSM,0.00784313725490196,76.74
FGSM Adversarial Model,Clean Model,FGSM,0.01568627450980392,71.89
FGSM Adversarial Model,Clean Model,FGSM,0.03137254901960784,60.14
FGSM Adversarial Model,Clean Model,PGD,0.00784313725490196,76.89
FGSM Adversarial Model,Clean Model,PGD,0.01568627450980392,72.02
FGSM Adversarial Model,Clean Model,PGD,0.03137254901960784,60.01
FGSM Adversarial Model,Adversarial Model,FGSM,0.00784313725490196,52.64
FGSM Adversarial Model,Adversarial Model,FGSM,0.01568627450980392,48.65
FGSM Adversarial Model,Adversarial Model,FGSM,0.03137254901960784,41.29
FGSM Adversarial Model,Adversarial Model,PGD,0.00784313725490196,52.7
FGSM Adversarial Model,Adversarial Model,PGD,0.01568627450980392,48.65
FGSM Adversarial Model,Adversarial Model,PGD,0.03137254901960784,41.29
FGSM Adversarial Model,FGSM Adversarial Model,FGSM,0.00784313725490196,52.36
FGSM Adversarial Model,FGSM Adversarial Model,FGSM,0.01568627450980392,47.57
FGSM Adversarial Model,FGSM Adversarial Model,FGSM,0.03137254901960784,37.63
FGSM Adversarial Model,FGSM Adversarial Model,PGD,0.00784313725490196,52.21
FGSM Adversarial Model,FGSM Adversarial Model,PGD,0.01568627450980392,47.01
FGSM Adversarial Model,FGSM Adversarial Model,PGD,0.03137254901960784,36.45
