source_model,target_model,attack,epsilon,accuracy
Clean Model,Clean Model,FGSM,0.00784313725490196,31.1625
Clean Model,Clean Model,FGSM,0.01568627450980392,13.6875
Clean Model,Clean Model,FGSM,0.03137254901960784,3.225
Clean Model,Clean Model,PGD,0.00784313725490196,25.75
Clean Model,Clean Model,PGD,0.01568627450980392,5.725
Clean Model,Clean Model,PGD,0.03137254901960784,0.125
Clean Model,Adversarial Model,FGSM,0.00784313725490196,57.375
Clean Model,Adversarial Model,FGSM,0.01568627450980392,56.925
Clean Model,Adversarial Model,FGSM,0.03137254901960784,55.675
Clean Model,Adversarial Model,PGD,0.00784313725490196,57.4
Clean Model,Adversarial Model,PGD,0.01568627450980392,56.9625
Clean Model,Adversarial Model,PGD,0.03137254901960784,56.05
Clean Model,FGSM Adversarial Model,FGSM,0.00784313725490196,60.8875
Clean Model,FGSM Adversarial Model,FGSM,0.01568627450980392,60.15
Clean Model,FGSM Adversarial Model,FGSM,0.03137254901960784,58.6875
Clean Model,FGSM Adversarial Model,PGD,0.00784313725490196,60.9125
Clean Model,FGSM Adversarial Model,PGD,0.01568627450980392,60.2375
Clean Model,FGSM Adversarial Model,PGD,0.03137254901960784,59.2875
Clean Model,TRADES Model,FGSM,0.00784313725490196,53.95
Clean Model,TRADES Model,FGSM,0.01568627450980392,53.55
Clean Model,TRADES Model,FGSM,0.03137254901960784,52.575
Clean Model,TRADES Model,PGD,0.00784313725490196,54.0
Clean Model,TRADES Model,PGD,0.01568627450980392,53.5375
Clean Model,TRADES Model,PGD,0.03137254901960784,52.825
Adversarial Model,Clean Model,FGSM,0.00784313725490196,69.1
Adversarial Model,Clean Model,FGSM,0.01568627450980392,65.225
Adversarial Model,Clean Model,FGSM,0.03137254901960784,55.5875
Adversarial Model,Clean Model,PGD,0.00784313725490196,69.075
Adversarial Model,Clean Model,PGD,0.01568627450980392,65.05
Adversarial Model,Clean Model,PGD,0.03137254901960784,55.7
Adversarial Model,Adversarial Model,FGSM,0.00784313725490196,51.475
Adversarial Model,Adversarial Model,FGSM,0.01568627450980392,45.6375
Adversarial Model,Adversarial Model,FGSM,0.03137254901960784,35.375
Adversarial Model,Adversarial Model,PGD,0.00784313725490196,51.2875
Adversarial Model,Adversarial Model,PGD,0.01568627450980392,44.8
Adversarial Model,Adversarial Model,PGD,0.03137254901960784,33.375
Adversarial Model,FGSM Adversarial Model,FGSM,0.00784313725490196,56.8125
Adversarial Model,FGSM Adversarial Model,FGSM,0.01568627450980392,52.2
Adversarial Model,FGSM Adversarial Model,FGSM,0.03137254901960784,43.2
Adversarial Model,FGSM Adversarial Model,PGD,0.00784313725490196,56.825
Adversarial Model,FGSM Adversarial Model,PGD,0.01568627450980392,52.075
Adversarial Model,FGSM Adversarial Model,PGD,0.03137254901960784,42.35
Adversarial Model,TRADES Model,FGSM,0.00784313725490196,51.3
Adversarial Model,TRADES Model,FGSM,0.01568627450980392,48.0125
Adversarial Model,TRADES Model,FGSM,0.03137254901960784,41.6
Adversarial Model,TRADES Model,PGD,0.00784313725490196,51.2875
Adversarial Model,TRADES Model,PGD,0.01568627450980392,47.95
Adversarial Model,TRADES Model,PGD,0.03137254901960784,41.4375
FGSM Adversarial Model,Clean Model,FGSM,0.00784313725490196,68.8375
FGSM Adversarial Model,Clean Model,FGSM,0.01568627450980392,64.6125
FGSM Adversarial Model,Clean Model,FGSM,0.03137254901960784,54.6125
FGSM Adversarial Model,Clean Model,PGD,0.00784313725490196,68.8
FGSM Adversarial Model,Clean Model,PGD,0.01568627450980392,64.725
FGSM Adversarial Model,Clean Model,PGD,0.03137254901960784,54.2875
FGSM Adversarial Model,Adversarial Model,FGSM,0.00784313725490196,53.85
FGSM Adversarial Model,Adversarial Model,FGSM,0.01568627450980392,50.0375
FGSM Adversarial Model,Adversarial Model,FGSM,0.03137254901960784,42.25
FGSM Adversarial Model,Adversarial Model,PGD,0.00784313725490196,53.7625
FGSM Adversarial Model,Adversarial Model,PGD,0.01568627450980392,49.8625
FGSM Adversarial Model,Adversarial Model,PGD,0.03137254901960784,41.8875
FGSM Adversarial Model,FGSM Adversarial Model,FGSM,0.00784313725490196,54.0375
FGSM Adversarial Model,FGSM Adversarial Model,FGSM,0.01568627450980392,46.85
FGSM Adversarial Model,FGSM Adversarial Model,FGSM,0.03137254901960784,34.75
FGSM Adversarial Model,FGSM Adversarial Model,PGD,0.00784313725490196,53.9125
FGSM Adversarial Model,FGSM Adversarial Model,PGD,0.01568627450980392,45.675
FGSM Adversarial Model,FGSM Adversarial Model,PGD,0.03137254901960784,31.8375
FGSM Adversarial Model,TRADES Model,FGSM,0.00784313725490196,51.7125
FGSM Adversarial Model,TRADES Model,FGSM,0.01568627450980392,48.7125
FGSM Adversarial Model,TRADES Model,FGSM,0.03137254901960784,42.8875
FGSM Adversarial Model,TRADES Model,PGD,0.00784313725490196,51.65
FGSM Adversarial Model,TRADES Model,PGD,0.01568627450980392,48.6375
FGSM Adversarial Model,TRADES Model,PGD,0.03137254901960784,42.8125
TRADES Model,Clean Model,FGSM,0.00784313725490196,68.8625
TRADES Model,Clean Model,FGSM,0.01568627450980392,64.7
TRADES Model,Clean Model,FGSM,0.03137254901960784,54.5875
TRADES Model,Clean Model,PGD,0.00784313725490196,68.9
TRADES Model,Clean Model,PGD,0.01568627450980392,64.625
TRADES Model,Clean Model,PGD,0.03137254901960784,54.2
TRADES Model,Adversarial Model,FGSM,0.00784313725490196,54.425
TRADES Model,Adversarial Model,FGSM,0.01568627450980392,51.075
TRADES Model,Adversarial Model,FGSM,0.03137254901960784,44.0375
TRADES Model,Adversarial Model,PGD,0.00784313725490196,54.375
TRADES Model,Adversarial Model,PGD,0.01568627450980392,51.0125
TRADES Model,Adversarial Model,PGD,0.03137254901960784,44.1625
TRADES Model,FGSM Adversarial Model,FGSM,0.00784313725490196,57.7
TRADES Model,FGSM Adversarial Model,FGSM,0.01568627450980392,54.0
TRADES Model,FGSM Adversarial Model,FGSM,0.03137254901960784,46.6
TRADES Model,FGSM Adversarial Model,PGD,0.00784313725490196,57.775
TRADES Model,FGSM Adversarial Model,PGD,0.01568627450980392,53.9125
TRADES Model,FGSM Adversarial Model,PGD,0.03137254901960784,46.475
TRADES Model,TRADES Model,FGSM,0.00784313725490196,48.325
TRADES Model,TRADES Model,FGSM,0.01568627450980392,42.65
TRADES Model,TRADES Model,FGSM,0.03137254901960784,32.9
TRADES Model,TRADES Model,PGD,0.00784313725490196,48.2
TRADES Model,TRADES Model,PGD,0.01568627450980392,42.175
TRADES Model,TRADES Model,PGD,0.03137254901960784,31.7625
